Date,Open,High,Low,Close,Adj Close,Volume
2023-07-18,45754.800781,45905.851563,45281.300781,45410.851563,45410.851563,307300
2023-07-19,45622.500000,45707.398438,45433.000000,45669.300781,45669.300781,261100
2023-07-20,45689.050781,46256.199219,45640.949219,46186.898438,46186.898438,315200
2023-07-21,46063.949219,46369.500000,45925.898438,46075.199219,46075.199219,235600
2023-07-24,46131.898438,46191.500000,45858.750000,45923.050781,45923.050781,225800
2023-07-25,46154.699219,46156.101563,45622.851563,45845.000000,45845.000000,228100
2023-07-26,45935.148438,46096.601563,45804.699219,46062.351563,46062.351563,298400
2023-07-27,46285.851563,46310.101563,45570.648438,45679.300781,45679.300781,320400
2023-07-28,45560.898438,45727.750000,45238.800781,45468.101563,45468.101563,194700
2023-07-31,45546.351563,45694.898438,45359.750000,45651.101563,45651.101563,247900
2023-08-01,45740.000000,45782.750000,45471.050781,45592.500000,45592.500000,175200
2023-08-02,45234.648438,45404.898438,44720.898438,44995.699219,44995.699219,233600
2023-08-03,44862.851563,45038.449219,44279.398438,44513.449219,44513.449219,245800
2023-08-04,44754.750000,45118.050781,44520.550781,44879.500000,44879.500000,245200
2023-08-07,44993.699219,45011.351563,44773.851563,44837.500000,44837.500000,200800
2023-08-08,44888.949219,45096.851563,44817.851563,44964.449219,44964.449219,229400
2023-08-09,44973.449219,44975.000000,44533.750000,44880.699219,44880.699219,177300
2023-08-10,44797.648438,44980.351563,44418.398438,44541.800781,44541.800781,232000
2023-08-11,44568.148438,44571.250000,44120.898438,44199.101563,44199.101563,196900
2023-08-14,44066.601563,44212.750000,43776.898438,44090.949219,44090.949219,172300
2023-08-16,43726.250000,44002.800781,43600.351563,43946.398438,43946.398438,0
2023-08-17,43897.250000,44071.851563,43745.101563,43891.351563,43891.351563,266400
2023-08-18,43724.750000,43957.648438,43672.449219,43851.050781,43851.050781,167600
2023-08-21,43952.851563,44113.800781,43862.000000,44002.000000,44002.000000,126300
2023-08-22,44125.000000,44151.300781,43938.699219,43993.250000,43993.250000,160700
2023-08-23,44064.500000,44521.648438,43952.050781,44479.050781,44479.050781,212400
2023-08-24,44704.199219,44949.898438,44433.750000,44496.199219,44496.199219,220400
2023-08-25,44276.199219,44359.101563,43983.750000,44231.449219,44231.449219,152500
2023-08-28,44253.648438,44610.398438,44201.449219,44494.648438,44494.648438,163000
2023-08-29,44655.750000,44673.000000,44429.800781,44495.250000,44495.250000,140300
2023-08-30,44706.550781,44779.648438,44149.800781,44232.601563,44232.601563,153100
2023-08-31,44265.851563,44399.648438,43895.050781,43989.148438,43989.148438,705100
2023-09-01,43996.101563,44568.550781,43830.750000,44436.101563,44436.101563,320800
2023-09-04,44647.648438,44656.050781,44310.949219,44578.300781,44578.300781,0
2023-09-05,44625.050781,44668.699219,44401.699219,44532.148438,44532.148438,225500
2023-09-06,44494.648438,44577.000000,44207.250000,44409.101563,44409.101563,252000
2023-09-07,44418.050781,44915.550781,44341.199219,44878.351563,44878.351563,169100
2023-09-08,44953.648438,45383.351563,44812.148438,45156.398438,45156.398438,179100
2023-09-11,45340.800781,45636.199219,45231.300781,45570.699219,45570.699219,228100
2023-09-12,45893.800781,45893.800781,45322.550781,45511.351563,45511.351563,271400
2023-09-13,45449.351563,45990.500000,45299.398438,45909.449219,45909.449219,441700
2023-09-14,46013.300781,46153.898438,45801.500000,46000.851563,46000.851563,238600
2023-09-15,46122.148438,46310.398438,46028.750000,46231.500000,46231.500000,278400
2023-09-18,46100.949219,46252.949219,45906.898438,45979.851563,45979.851563,348800
2023-09-20,45493.699219,45745.148438,45276.398438,45384.601563,45384.601563,334000
2023-09-21,45179.601563,45276.800781,44592.449219,44623.851563,44623.851563,257700
2023-09-22,44707.351563,44996.750000,44548.898438,44612.050781,44612.050781,249400
2023-09-25,44615.000000,44936.550781,44400.898438,44766.101563,44766.101563,266500
2023-09-26,44722.500000,44773.800781,44532.449219,44624.199219,44624.199219,188500
2023-09-27,44465.898438,44668.000000,44182.500000,44588.300781,44588.300781,221900
2023-09-28,44700.351563,44756.800781,44248.199219,44300.949219,44300.949219,389900
2023-09-29,44445.351563,44755.050781,44344.898438,44584.550781,44584.550781,156000
2023-10-03,44561.500000,44566.300781,44243.101563,44399.050781,44399.050781,192600
2023-10-04,44108.148438,44161.351563,43857.500000,43964.050781,43964.050781,310300
2023-10-05,44181.351563,44391.851563,44108.300781,44213.351563,44213.351563,243400
2023-10-06,44395.398438,44500.699219,44242.949219,44360.601563,44360.601563,157500
2023-10-09,44057.800781,44113.199219,43796.750000,43886.500000,43886.500000,162300
2023-10-10,44027.550781,44487.250000,44004.550781,44360.148438,44360.148438,175300
2023-10-11,44554.898438,44710.550781,44411.398438,44516.898438,44516.898438,213700
2023-10-12,44571.550781,44693.050781,44530.050781,44599.199219,44599.199219,112100
2023-10-13,44322.050781,44563.050781,44203.699219,44287.949219,44287.949219,169900
2023-10-16,44204.750000,44356.949219,44044.398438,44225.898438,44225.898438,140400
2023-10-17,44589.800781,44589.851563,44336.949219,44409.500000,44409.500000,120500
2023-10-18,44404.199219,44412.500000,43861.449219,43888.699219,43888.699219,217200
2023-10-19,43616.750000,44058.800781,43558.101563,43754.500000,43754.500000,156600
2023-10-20,43584.250000,43877.500000,43567.449219,43723.050781,43723.050781,152400
2023-10-23,43822.699219,43831.300781,43029.449219,43151.199219,43151.199219,201400
